image_name,date_taken,location,color,description
mur_dore.jpg,2025:11:30 12:16:35,"45.173296, 5.705039",#FFD700,Hugo
mur_jaune.jpg,2025:11:30 12:09:06,"45.176538, 5.713929",#FFFF00,Hugo
mur_rouge.jpg,2025:11:30 12:03:02,"45.181659, 5.714692",#FF0000,Hugo
mur_vert.jpg,2025:11:30 12:18:37,"45.172354, 5.707516",#008000,Hugo
photo1.jpg,2025:11:30 12:13:37,"45.18971388888889, 5.713133333333333",#FFD700,Lilian
photo2.jpg,2025:11:30 12:39:51,"45.188538888888885, 5.714708333333333",#008000, vers la gare
photo3.jpg,2025:11:30 12:44:11,"45.184491666666666, 5.710705555555556",#FFA500, mal écrit
PXL_20251204_145619015.jpg,2025:12:04 15:56:19,"45.188961111111105, 5.702508333333333",#008000, le pont
PXL_20251204_150209610.jpg,2025:12:04 16:02:09,"45.18628611111111, 5.704525",#fd6c9e,plein de graphity
PXL_20251204_151304345.jpg,2025:12:04 16:13:04,"45.181805555555556, 5.705902777777778",#FFA500, bouche incendie
PXL_20251205_134455994.jpg,2025:12:05 14:44:55,"45.19300833333333, 5.714",#FF0000, à reclaim un peu plus loin (j'étais dans le bus)
PXL_20251208_131929532.MP.jpg,2025:12:08 14:19:29,"45.186563888888884, 5.7166250000000005",#000000, Escargot
PXL_20251210_153736664.jpg,2025:12:10 16:37:36,"45.18456944444444, 5.697",#DDDDDD, Pas de pot
PXL_20251213_132717614.jpg,2025:12:13 14:27:17,"45.18710833333333, 5.7164777777777775",#008000, Tout repeint le mur
PXL_20251130_110640919.MP.jpg,2025:11:30 12:06:40,"45.19101944444444, 5.709716666666667",#fd6c9e, Mal effacé
PXL_20251214_151513492.jpg,2025:12:14 16:15:13,"45.171169444444445, 5.724944444444445",#888888,Fleurs
PXL_20251214_152408468.jpg,2025:12:14 16:24:08,"45.172201, 5.732028",#888888,Mal effacé 2
PXL_20251214_154524697.jpg,2025:12:14 16:45:24,"45.172646, 5.721130",#008000,Fond de tag
PXL_20251214_154619608.jpg,2025:12:14 16:46:19,"45.172646, 5.721130",#008000,Automobile club
PXL_20251214_154917826.jpg,2025:12:14 16:49:17,"45.173985, 5.722261", #0080ff,Conteneur
PXL_20251214_155048708.jpg,2025:12:14 16:50:48,"45.174085, 5.722954",#ffa500,ZIQVA
PXL_20251214_155247354.jpg,2025:12:14 16:52:47,"45.174434, 5.724244",#582900,Ouais
PXL_20251214_155318519.jpg,2025:12:14 16:53:18,"45.174754, 5.724456",#582900,Bordel
