image_name,date_taken,location
photo1.jpg,2025:11:30 12:13:37,"45.18971388888889, 5.713133333333333"
photo2.jpg,2025:11:30 12:39:51,"45.188538888888885, 5.714708333333333"
photo3.jpg,2025:11:30 12:44:11,"45.184491666666666, 5.710705555555556"
PXL_20251204_145619015.jpg,2025:12:04 15:56:19,"45.188961111111105, 5.702508333333333"
PXL_20251204_150209610.jpg,2025:12:04 16:02:09,"45.18628611111111, 5.704525"
PXL_20251204_151304345.jpg,2025:12:04 16:13:04,"45.181805555555556, 5.705902777777778"
PXL_20251205_134455994.jpg,2025:12:05 14:44:55,"45.19300833333333, 5.714"
PXL_20251208_131929532.MP.jpg,2025:12:08 14:19:29,"45.186563888888884, 5.7166250000000005"
PXL_20251210_153736664.jpg,2025:12:10 16:37:36,"45.18456944444444, 5.697"
PXL_20251213_132717614.jpg,2025:12:13 14:27:17,"45.18710833333333, 5.7164777777777775"
PXL_20251130_110302016.jpg,2025:11:30 12:03:02,Unknown
PXL_20251130_110906468.jpg,2025:11:30 12:09:06,Unknown
PXL_20251130_111635739.jpg,2025:11:30 12:16:35,Unknown
PXL_20251130_111837217.jpg,2025:11:30 12:18:37,Unknown
